,Reviews,KeyWords
0,good,['good']
1,good,['good']
2,not good bad,"['not', 'good', 'bad']"
3,good,['good']
4,very good,"['very', 'good']"
5,good,['good']
6,good,['good']
7,i love harsh,"['love', 'harsh']"
8,so bad,"['so', 'bad']"
9,route doesnt show phone bad it needs see end,"['route', 'doesnt', 'show', 'phone', 'bad', 'it', 'needs', 'see', 'end']"
10,v good,['good']
11,mostly time drive safe,"['mostly', 'time', 'drive', 'safe']"
12,good,['good']
13,good,['good']
14,good,['good']
15,not good,"['not', 'good']"
16,excellence,['excellence']
17,to high,"['to', 'high']"
18,sometimes slow annoying overall,"['sometimes', 'slow', 'annoying', 'overall']"
19,perfect one,"['perfect', 'one']"
20,good,['good']
21,good,['good']
22,very good,"['very', 'good']"
23,good,['good']
