,Preprocessed_text,cluster
0,terrible crazy,Common
1,terrible,Common
2,good service,Common
3,often misleading initial actual rate may vary significantly never available useless app,Common
4,good,Bug_fix
5,very useful,Common
6,usually use go good,Common
7,nan,Common
8,excellent wish get connected new version please cos i hurry go st lane place,Common
9,can connect mobile phone tried sever times android also wife slightly frowning face,Common
10,greatly appreciate help,Common
11,wonderful update food get added cart,Common
12,no one,Common
13,nan,Common
14,useless,Common
15,nice,Common
16,please update actual address rather showing area common address please update us area driver comes us scolding book far pick us keep telling hire futile show us location rather showing location fetched,Common
17,good,Bug_fix
18,worth app,Common
19,not good bad,Bug_fix
20,nan,Common
21,good very friendly helpful,Common
22,so exciting,Common
23,unusable outside the local taxi outside blocking leave pick location so sad,Common
24,awesome,Common
25,thumbs good app,Common
26,good app,Feature Request
27,accuracy,Common
28,nice,Common
29,available that much,Common
30,the best app two hearts,Common
31,i need update,Common
32,thanks ur service,Common
33,super service,Common
34,food order please,Common
35,amazing,Common
36,sometimes taking money show app though add drop location some friendly some talkative disturb,Common
37,good,Bug_fix
38,this retarded app working i fix it now,Common
39,superb,Common
40,great app easy use one easiest useful i ever used really people use,Common
41,much best,Common
42,excellent,Common
43,it good service,Common
44,very good,Bug_fix
45,good,Bug_fix
46,good,Bug_fix
47,i love harsh,Bug_fix
48,thanks team,Common
49,good service,Common
50,so bad,Bug_fix
51,route doesnt show phone bad it needs see end,Bug_fix
52,two hearts thumbs,Common
53,v good,Bug_fix
54,nan,Common
55,mostly time drive safe,Bug_fix
56,worst app that pick driving sleeping they safe don book via pick worst app worst service,Common
57,nan,Common
58,super,Common
59,good,Bug_fix
60,fast response good service reasonable,Common
61,good,Bug_fix
62,excellent,Common
63,bad service fake service hell,Common
64,good,Bug_fix
65,not good,Bug_fix
66,excellence,Bug_fix
67,use full,Common
68,to high,Bug_fix
69,sometimes slow annoying overall,Bug_fix
70,you educate they know use app properly they accept hire figure pick far call customer expect customer cancel hire educate use app thanks,Common
71,awesome,Common
72,always ni need one,Common
73,perfect one,Bug_fix
74,awesome app,Common
75,good,Bug_fix
76,good app,Feature Request
77,good,Bug_fix
78,i like took bit big,Common
79,good app make easy travel,Feature Request
80,great app,Feature Request
81,really red heart,Common
82,nan,Common
83,the app infrastructure great ride however food component somewhat behind comparison eats i feel due lack minimalism opinion user,Feature Request
84,slow,Common
85,always set cheap app,Feature Request
86,super,Common
87,all time available,Common
88,charge response faulty app still cash choosing business paying option,Feature Request
89,very good quick service,Common
90,nan,Common
91,really disappointed food service i ordered buy get free offer i get customer service poor,Common
92,top app,Feature Request
93,no use price go bull,Common
94,very good,Bug_fix
95,good,Bug_fix
96,new food screen good those next level nice work local team,Common
97,nan,Common
98,can update plus can book option,Common
99,very poor update see driver,Common
